          Teff = 3500 K,  log g = 0.0,  [M/H] = -5.0

 Bessell        I    22    0.568 (0.0402)    0.662  0.142 (0.0055)    0.354  0.356 (0.0121)
 Tycho         TyB   23    0.622 (0.0133)    0.648  0.039 (0.0022)    0.563  0.098 (0.0004)
               TyV   24    0.628 (0.0098)    0.643  0.023 (0.0040)    0.594  0.057 (0.0029)
 Hipparchos    HIP   25    0.622 (0.0128)    0.646  0.037 (0.0026)    0.567  0.092 (0.0008)
 KEPLER              26    0.601 (0.0231)    0.653  0.078 (0.0009)    0.485  0.194 (0.0043)
 COROT SIS           27    0.584 (0.0315)    0.655  0.107 (0.0020)    0.423  0.267 (0.0070)
 COROT EXO           28    0.583 (0.0319)    0.655  0.108 (0.0021)    0.421  0.271 (0.0072)
 Geneva         U    29    0.625 (0.0118)    0.648  0.034 (0.0025)    0.575  0.084 (0.0009)
                B    30    0.622 (0.0133)    0.648  0.039 (0.0023)    0.563  0.097 (0.0005)
                B1   31    0.623 (0.0128)    0.648  0.038 (0.0022)    0.567  0.094 (0.0004)
                B2   32    0.621 (0.0134)    0.647  0.039 (0.0024)    0.562  0.098 (0.0006)
                V    33    0.629 (0.0094)    0.643  0.020 (0.0042)    0.599  0.051 (0.0032)
                V1   34    0.628 (0.0100)    0.644  0.023 (0.0039)    0.593  0.059 (0.0028)
                G    35    0.632 (0.0081)    0.641  0.014 (0.0047)    0.610  0.036 (0.0040)
 Vilnius        U    36    0.626 (0.0115)    0.648  0.033 (0.0026)    0.577  0.082 (0.0010)
                P    37    0.624 (0.0126)    0.648  0.037 (0.0022)    0.568  0.093 (0.0005)
                X    38    0.623 (0.0131)    0.649  0.039 (0.0020)    0.564  0.098 (0.0003)
                Y    39    0.621 (0.0133)    0.646  0.038 (0.0026)    0.563  0.096 (0.0008)
                Z    40    0.626 (0.0114)    0.646  0.030 (0.0033)    0.581  0.075 (0.0019)
                V    41    0.628 (0.0100)    0.643  0.023 (0.0040)    0.594  0.058 (0.0029)
                S    42    0.631 (0.0087)    0.644  0.020 (0.0038)    0.601  0.049 (0.0029)
 Milone         iz   43    0.438 (0.0960)    0.649  0.316 (0.0062)   -0.036  0.791 (0.0208)
                iJ   44    0.364 (0.1157)    0.599  0.352 (0.0109)   -0.165  0.881 (0.0115)
                iH   45    0.296 (0.1334)    0.563  0.400 (0.0162)   -0.305  1.001 (0.0059)
                iK   46    0.226 (0.1245)    0.453  0.340 (0.0336)   -0.285  0.851 (0.0174)
 YMS94         iz    47    0.438 (0.0960)    0.649  0.316 (0.0062)   -0.036  0.791 (0.0208)
               iJ    48    0.364 (0.1157)    0.599  0.352 (0.0109)   -0.164  0.881 (0.0115)
               iH    49    0.296 (0.1333)    0.563  0.400 (0.0162)   -0.304  1.000 (0.0059)
               iK    50    0.226 (0.1245)    0.453  0.340 (0.0336)   -0.285  0.851 (0.0174)
               iL    51    0.144 (0.0708)    0.263  0.179 (0.0265)   -0.124  0.446 (0.0181)
               iLp   52    0.135 (0.0673)    0.248  0.168 (0.0256)   -0.117  0.421 (0.0177)
               iM    53    0.133 (0.0733)    0.257  0.186 (0.0262)   -0.146  0.465 (0.0173)
               in    54    0.073 (0.0487)    0.159  0.129 (0.0146)   -0.120  0.322 (0.0084)
               iN    55    0.071 (0.0468)    0.155  0.125 (0.0134)   -0.117  0.313 (0.0074)
 Sloan DSS      u    56    0.625 (0.0121)    0.648  0.035 (0.0024)    0.572  0.088 (0.0007)
                g    57    0.625 (0.0118)    0.646  0.032 (0.0031)    0.577  0.079 (0.0017)
                r    58    0.631 (0.0085)    0.643  0.018 (0.0041)    0.604  0.045 (0.0032)
                i    59    0.588 (0.0299)    0.658  0.105 (0.0034)    0.431  0.263 (0.0082)
                z    60    0.506 (0.0687)    0.664  0.237 (0.0079)    0.151  0.592 (0.0193)
 HST STIS Ly_alpha   61    0.659 (0.0050)    0.646 -0.020 (0.0052)    0.689 -0.050 (0.0061)
            Fclear   62    0.633 (0.0049)    0.632 -0.001 (0.0052)    0.634 -0.002 (0.0052)
             Fsrf2   63    0.632 (0.0049)    0.631 -0.001 (0.0052)    0.633 -0.001 (0.0052)
              Fqtz   64    0.635 (0.0050)    0.635  0.000 (0.0051)    0.635  0.000 (0.0051)
              CIII   65    0.652 (0.0039)    0.644 -0.011 (0.0051)    0.668 -0.028 (0.0056)
              MgII   66    0.629 (0.0103)    0.646  0.026 (0.0034)    0.589  0.065 (0.0022)
            Nclear   67    0.627 (0.0112)    0.647  0.031 (0.0027)    0.581  0.077 (0.0013)
             Nsrf2   68    0.625 (0.0116)    0.647  0.032 (0.0029)    0.578  0.079 (0.0014)
              Nqtz   69    0.631 (0.0092)    0.647  0.023 (0.0034)    0.597  0.057 (0.0023)
             cn182   70    0.624 (0.0126)    0.648  0.037 (0.0022)    0.568  0.092 (0.0005)
             cn270   71    0.627 (0.0108)    0.646  0.029 (0.0031)    0.584  0.072 (0.0017)
            Oclear   72    0.568 (0.0387)    0.656  0.131 (0.0028)    0.371  0.328 (0.0090)
         Oclear-lp   73    0.565 (0.0403)    0.656  0.137 (0.0031)    0.359  0.343 (0.0097)
             [OII]   74    0.622 (0.0131)    0.648  0.039 (0.0022)    0.564  0.097 (0.0004)
            [OIII]   75    0.626 (0.0125)    0.650  0.036 (0.0025)    0.573  0.089 (0.0010)
 2MASS          J    76    0.367 (0.1147)    0.600  0.350 (0.0104)   -0.158  0.875 (0.0115)
 2MASS          H    77    0.294 (0.1325)    0.558  0.396 (0.0173)   -0.299  0.989 (0.0049)
 2MASS          Ks   78    0.228 (0.1255)    0.458  0.344 (0.0331)   -0.288  0.861 (0.0166)
 SWASP               79    0.629 (0.0094)    0.644  0.022 (0.0037)    0.596  0.056 (0.0027)
 MOST                80    0.626 (0.0110)    0.646  0.030 (0.0029)    0.581  0.075 (0.0015)
 GAIA (2006)    G    81    0.589 (0.0287)    0.654  0.097 (0.0015)    0.444  0.242 (0.0060)
 GAIA (2010)    G    82    0.583 (0.0321)    0.655  0.109 (0.0022)    0.419  0.273 (0.0074)
 GAIA (2010)    BP   83    0.631 (0.0087)    0.643  0.019 (0.0041)    0.603  0.047 (0.0032)
 GAIA (2010)    RP   84    0.560 (0.0430)    0.660  0.149 (0.0045)    0.337  0.372 (0.0116)
 GAIA (2010)  G_RV   85    0.537 (0.0550)    0.667  0.194 (0.0080)    0.246  0.486 (0.0172)
 Milone        230   86    0.662 (0.0056)    0.646 -0.023 (0.0052)    0.696 -0.057 (0.0063)
               250   87    0.642 (0.0055)    0.647  0.008 (0.0037)    0.629  0.021 (0.0033)
               270   88    0.626 (0.0110)    0.646  0.030 (0.0030)    0.582  0.074 (0.0016)
               290   89    0.630 (0.0097)    0.646  0.024 (0.0033)    0.594  0.061 (0.0022)
               310   90    0.636 (0.0080)    0.647  0.017 (0.0038)    0.610  0.043 (0.0030)
               330   91    0.628 (0.0101)    0.646  0.027 (0.0031)    0.589  0.066 (0.0018)
 CaII triplet  858   92    0.539 (0.0545)    0.667  0.192 (0.0079)    0.250  0.481 (0.0170)
 WIRE  Johnson V+R   93    0.611 (0.0184)    0.650  0.060 (0.0009)    0.521  0.149 (0.0022)
               LUT   94    0.622 (0.0130)    0.648  0.038 (0.0023)    0.565  0.095 (0.0005)
              TESS   95    0.552 (0.0464)    0.658  0.159 (0.0043)    0.314  0.398 (0.0119)


          Teff = 3500 K,  log g = 0.5,  [M/H] = -5.0

 bolometric           0    0.329 (0.1021)    0.530  0.301 (0.0156)   -0.122  0.753 (0.0018)
 Stromgren      u     1    0.625 (0.0122)    0.649  0.036 (0.0023)    0.572  0.089 (0.0006)
                v     2    0.624 (0.0130)    0.649  0.038 (0.0022)    0.567  0.095 (0.0006)
                b     3    0.623 (0.0124)    0.645  0.034 (0.0031)    0.572  0.085 (0.0015)
                y     4    0.629 (0.0095)    0.644  0.022 (0.0039)    0.597  0.054 (0.0029)
 Johnson        U     5    0.623 (0.0130)    0.649  0.038 (0.0022)    0.566  0.096 (0.0004)
                B     6    0.624 (0.0120)    0.646  0.033 (0.0030)    0.575  0.082 (0.0015)
                V     7    0.627 (0.0107)    0.645  0.028 (0.0033)    0.585  0.070 (0.0020)
                R     8    0.572 (0.0375)    0.658  0.130 (0.0036)    0.377  0.324 (0.0097)
                I     9    0.467 (0.0833)    0.652  0.278 (0.0053)    0.051  0.694 (0.0185)
                J    10    0.321 (0.1214)    0.559  0.357 (0.0178)   -0.213  0.891 (0.0057)
                K    11    0.219 (0.1278)    0.455  0.354 (0.0316)   -0.312  0.884 (0.0145)
                L    12    0.144 (0.0785)    0.278  0.202 (0.0274)   -0.159  0.504 (0.0178)
                M    13    0.118 (0.0711)    0.239  0.181 (0.0250)   -0.153  0.452 (0.0164)
                N    14    0.070 (0.0461)    0.149  0.118 (0.0161)   -0.107  0.296 (0.0105)
 Cousins        Rc   15    0.593 (0.0271)    0.655  0.092 (0.0017)    0.455  0.231 (0.0059)
                Ic   16    0.524 (0.0606)    0.664  0.210 (0.0073)    0.209  0.526 (0.0173)
 Bessell        UX   17    0.624 (0.0129)    0.649  0.038 (0.0022)    0.566  0.095 (0.0005)
 Bessell        BX   18    0.624 (0.0120)    0.646  0.033 (0.0031)    0.576  0.081 (0.0015)
 Bessell        B    19    0.624 (0.0120)    0.646  0.033 (0.0030)    0.575  0.082 (0.0015)
 Bessell        V    20    0.627 (0.0107)    0.645  0.028 (0.0033)    0.585  0.069 (0.0020)
 Bessell        R    21    0.591 (0.0279)    0.655  0.095 (0.0019)    0.448  0.238 (0.0062)
 Bessell        I    22    0.513 (0.0654)    0.663  0.225 (0.0073)    0.175  0.563 (0.0181)
 Tycho         TyB   23    0.623 (0.0128)    0.648  0.036 (0.0026)    0.569  0.091 (0.0009)
               TyV   24    0.627 (0.0107)    0.645  0.027 (0.0034)    0.586  0.069 (0.0021)
 Hipparchos    HIP   25    0.606 (0.0207)    0.651  0.067 (0.0006)    0.505  0.168 (0.0028)
 KEPLER              26    0.568 (0.0390)    0.657  0.133 (0.0031)    0.368  0.333 (0.0095)
 COROT SIS           27    0.547 (0.0482)    0.655  0.163 (0.0034)    0.303  0.407 (0.0112)
 COROT EXO           28    0.546 (0.0488)    0.656  0.165 (0.0035)    0.298  0.413 (0.0114)
 Geneva         U    29    0.625 (0.0123)    0.649  0.036 (0.0023)    0.571  0.090 (0.0006)
                B    30    0.623 (0.0127)    0.647  0.036 (0.0027)    0.569  0.090 (0.0010)
                B1   31    0.623 (0.0130)    0.649  0.038 (0.0023)    0.567  0.095 (0.0006)
                B2   32    0.623 (0.0127)    0.647  0.035 (0.0028)    0.570  0.088 (0.0012)
                V    33    0.628 (0.0101)    0.645  0.025 (0.0036)    0.591  0.062 (0.0024)
                V1   34    0.629 (0.0098)    0.644  0.023 (0.0038)    0.595  0.057 (0.0028)
                G    35    0.627 (0.0104)    0.645  0.027 (0.0033)    0.586  0.067 (0.0020)
 Vilnius        U    36    0.625 (0.0121)    0.649  0.035 (0.0024)    0.572  0.088 (0.0007)
                P    37    0.623 (0.0132)    0.649  0.039 (0.0022)    0.564  0.098 (0.0004)
                X    38    0.623 (0.0132)    0.649  0.038 (0.0023)    0.566  0.096 (0.0006)
                Y    39    0.623 (0.0123)    0.646  0.034 (0.0031)    0.573  0.084 (0.0015)
                Z    40    0.629 (0.0103)    0.645  0.025 (0.0037)    0.591  0.063 (0.0026)
                V    41    0.629 (0.0095)    0.644  0.022 (0.0039)    0.596  0.055 (0.0029)
                S    42    0.607 (0.0203)    0.653  0.068 (0.0010)    0.504  0.171 (0.0037)
 Milone         iz   43    0.379 (0.1138)    0.618  0.357 (0.0063)   -0.157  0.893 (0.0153)
                iJ   44    0.314 (0.1235)    0.553  0.359 (0.0197)   -0.225  0.899 (0.0064)
                iH   45    0.262 (0.1357)    0.525  0.394 (0.0236)   -0.328  0.984 (0.0054)
                iK   46    0.218 (0.1272)    0.452  0.351 (0.0317)   -0.309  0.879 (0.0148)
 YMS94         iz    47    0.379 (0.1138)    0.618  0.357 (0.0063)   -0.157  0.893 (0.0153)
               iJ    48    0.314 (0.1235)    0.553  0.359 (0.0197)   -0.225  0.899 (0.0064)
               iH    49    0.262 (0.1357)    0.525  0.393 (0.0236)   -0.328  0.984 (0.0054)
               iK    50    0.218 (0.1272)    0.452  0.351 (0.0317)   -0.309  0.879 (0.0148)
               iL    51    0.136 (0.0743)    0.262  0.189 (0.0265)   -0.148  0.473 (0.0176)
               iLp   52    0.129 (0.0716)    0.249  0.181 (0.0261)   -0.143  0.452 (0.0175)
               iM    53    0.127 (0.0751)    0.254  0.192 (0.0260)   -0.161  0.479 (0.0169)
               in    54    0.070 (0.0462)    0.150  0.119 (0.0160)   -0.108  0.297 (0.0104)
               iN    55    0.068 (0.0440)    0.143  0.113 (0.0153)   -0.102  0.283 (0.0100)
 Sloan DSS      u    56    0.624 (0.0127)    0.649  0.037 (0.0023)    0.568  0.093 (0.0005)
                g    57    0.627 (0.0109)    0.645  0.028 (0.0035)    0.586  0.069 (0.0022)
                r    58    0.613 (0.0174)    0.650  0.056 (0.0010)    0.528  0.141 (0.0021)
                i    59    0.539 (0.0536)    0.663  0.187 (0.0066)    0.258  0.468 (0.0155)
                z    60    0.445 (0.0925)    0.649  0.306 (0.0055)   -0.013  0.765 (0.0198)
 HST STIS Ly_alpha   61    0.661 (0.0033)    0.654 -0.011 (0.0038)    0.678 -0.028 (0.0043)
            Fclear   62    0.654 (0.0046)    0.644 -0.016 (0.0056)    0.679 -0.040 (0.0064)
             Fsrf2   63    0.654 (0.0046)    0.644 -0.016 (0.0056)    0.679 -0.040 (0.0064)
              Fqtz   64    0.653 (0.0043)    0.644 -0.014 (0.0055)    0.673 -0.034 (0.0061)
              CIII   65    0.653 (0.0034)    0.649 -0.006 (0.0042)    0.662 -0.015 (0.0045)
              MgII   66    0.632 (0.0093)    0.647  0.023 (0.0036)    0.598  0.057 (0.0025)
            Nclear   67    0.628 (0.0111)    0.648  0.031 (0.0027)    0.582  0.077 (0.0013)
             Nsrf2   68    0.627 (0.0110)    0.647  0.029 (0.0031)    0.583  0.074 (0.0017)
              Nqtz   69    0.632 (0.0095)    0.649  0.025 (0.0030)    0.595  0.062 (0.0018)
             cn182   70    0.624 (0.0126)    0.649  0.036 (0.0024)    0.570  0.091 (0.0007)
             cn270   71    0.629 (0.0105)    0.647  0.028 (0.0030)    0.586  0.071 (0.0016)
            Oclear   72    0.529 (0.0558)    0.653  0.187 (0.0033)    0.248  0.467 (0.0123)
         Oclear-lp   73    0.522 (0.0589)    0.654  0.198 (0.0038)    0.226  0.494 (0.0133)
             [OII]   74    0.621 (0.0135)    0.648  0.040 (0.0022)    0.562  0.100 (0.0004)
            [OIII]   75    0.628 (0.0117)    0.649  0.030 (0.0034)    0.583  0.076 (0.0021)
 2MASS          J    76    0.316 (0.1228)    0.555  0.359 (0.0191)   -0.222  0.896 (0.0062)
 2MASS          H    77    0.261 (0.1347)    0.520  0.389 (0.0244)   -0.323  0.973 (0.0061)
 2MASS          Ks   78    0.219 (0.1279)    0.455  0.354 (0.0317)   -0.312  0.885 (0.0147)
 SWASP               79    0.614 (0.0170)    0.650  0.055 (0.0011)    0.532  0.136 (0.0017)
 MOST                80    0.605 (0.0213)    0.652  0.071 (0.0008)    0.498  0.178 (0.0037)
 GAIA (2006)    G    81    0.555 (0.0447)    0.656  0.151 (0.0031)    0.328  0.378 (0.0104)
 GAIA (2010)    G    82    0.544 (0.0495)    0.656  0.168 (0.0037)    0.293  0.419 (0.0118)
 GAIA (2010)    BP   83    0.619 (0.0146)    0.648  0.045 (0.0018)    0.552  0.112 (0.0005)
 GAIA (2010)    RP   84    0.510 (0.0652)    0.658  0.221 (0.0054)    0.179  0.553 (0.0160)
 GAIA (2010)  G_RV   85    0.477 (0.0811)    0.660  0.275 (0.0075)    0.064  0.688 (0.0207)
 Milone        230   86    0.664 (0.0035)    0.656 -0.013 (0.0037)    0.683 -0.032 (0.0043)
               250   87    0.643 (0.0060)    0.651  0.012 (0.0031)    0.625  0.030 (0.0026)
               270   88    0.628 (0.0108)    0.647  0.029 (0.0029)    0.584  0.073 (0.0015)
               290   89    0.632 (0.0095)    0.648  0.024 (0.0031)    0.595  0.061 (0.0020)
               310   90    0.635 (0.0089)    0.650  0.022 (0.0032)    0.601  0.056 (0.0021)
               330   91    0.628 (0.0108)    0.648  0.031 (0.0026)    0.582  0.077 (0.0011)
 CaII triplet  858   92    0.478 (0.0806)    0.661  0.273 (0.0076)    0.068  0.684 (0.0207)
 WIRE  Johnson V+R   93    0.580 (0.0334)    0.656  0.114 (0.0026)    0.409  0.286 (0.0079)
               LUT   94    0.616 (0.0164)    0.650  0.051 (0.0015)    0.539  0.128 (0.0010)
              TESS   95    0.505 (0.0668)    0.654  0.224 (0.0044)    0.169  0.560 (0.0152)


          Teff = 3500 K,  log g = 1.0,  [M/H] = -5.0

 bolometric           0    0.283 (0.1101)    0.496  0.319 (0.0197)   -0.195  0.797 (0.0046)
 Stromgren      u     1    0.624 (0.0129)    0.649  0.038 (0.0023)    0.568  0.094 (0.0006)
                v     2    0.626 (0.0122)    0.648  0.034 (0.0030)    0.575  0.084 (0.0014)
                b     3    0.623 (0.0124)    0.646  0.035 (0.0029)    0.571  0.087 (0.0012)
                y     4    0.612 (0.0183)    0.652  0.060 (0.0010)    0.521  0.151 (0.0026)
 Johnson        U     5    0.624 (0.0129)    0.649  0.037 (0.0026)    0.568  0.092 (0.0009)
                B     6    0.623 (0.0128)    0.647  0.036 (0.0027)    0.568  0.091 (0.0010)
                V     7    0.603 (0.0227)    0.654  0.077 (0.0013)    0.487  0.193 (0.0046)
                R     8    0.505 (0.0683)    0.662  0.234 (0.0069)    0.154  0.586 (0.0182)
                I     9    0.386 (0.1128)    0.626  0.360 (0.0045)   -0.154  0.899 (0.0173)
                J    10    0.248 (0.1325)    0.496  0.372 (0.0288)   -0.309  0.929 (0.0114)
                K    11    0.195 (0.1201)    0.416  0.333 (0.0286)   -0.304  0.832 (0.0126)
                L    12    0.118 (0.0838)    0.262  0.216 (0.0280)   -0.207  0.541 (0.0176)
                M    13    0.103 (0.0732)    0.229  0.190 (0.0238)   -0.182  0.475 (0.0147)
                N    14    0.062 (0.0473)    0.141  0.118 (0.0176)   -0.115  0.296 (0.0120)
 Cousins        Rc   15    0.535 (0.0551)    0.663  0.192 (0.0065)    0.248  0.479 (0.0156)
                Ic   16    0.442 (0.0956)    0.654  0.319 (0.0070)   -0.037  0.798 (0.0222)
 Bessell        UX   17    0.624 (0.0129)    0.649  0.037 (0.0026)    0.569  0.092 (0.0008)
 Bessell        BX   18    0.623 (0.0128)    0.647  0.037 (0.0027)    0.568  0.091 (0.0010)
 Bessell        B    19    0.623 (0.0128)    0.647  0.036 (0.0027)    0.568  0.091 (0.0010)
 Bessell        V    20    0.603 (0.0228)    0.654  0.077 (0.0014)    0.487  0.194 (0.0046)
 Bessell        R    21    0.533 (0.0561)    0.663  0.195 (0.0065)    0.240  0.488 (0.0158)
 Bessell        I    22    0.430 (0.0996)    0.650  0.329 (0.0062)   -0.064  0.824 (0.0216)
 Tycho         TyB   23    0.625 (0.0122)    0.647  0.034 (0.0030)    0.574  0.085 (0.0014)
               TyV   24    0.607 (0.0206)    0.653  0.069 (0.0009)    0.504  0.172 (0.0035)
 Hipparchos    HIP   25    0.569 (0.0388)    0.657  0.133 (0.0032)    0.369  0.332 (0.0095)
 KEPLER              26    0.509 (0.0655)    0.657  0.222 (0.0053)    0.177  0.555 (0.0159)
 COROT SIS           27    0.486 (0.0742)    0.651  0.247 (0.0041)    0.116  0.617 (0.0159)
 COROT EXO           28    0.484 (0.0752)    0.651  0.250 (0.0041)    0.108  0.626 (0.0161)
 Geneva         U    29    0.624 (0.0129)    0.649  0.038 (0.0023)    0.568  0.094 (0.0006)
                B    30    0.624 (0.0123)    0.647  0.034 (0.0029)    0.573  0.085 (0.0013)
                B1   31    0.624 (0.0128)    0.648  0.036 (0.0027)    0.570  0.091 (0.0011)
                B2   32    0.624 (0.0123)    0.647  0.034 (0.0030)    0.573  0.085 (0.0014)
                V    33    0.606 (0.0210)    0.654  0.071 (0.0011)    0.500  0.177 (0.0039)
                V1   34    0.612 (0.0182)    0.652  0.060 (0.0010)    0.523  0.149 (0.0024)
                G    35    0.595 (0.0264)    0.657  0.092 (0.0026)    0.457  0.230 (0.0067)
 Vilnius        U    36    0.624 (0.0129)    0.649  0.038 (0.0023)    0.568  0.094 (0.0005)
                P    37    0.624 (0.0130)    0.648  0.037 (0.0026)    0.568  0.093 (0.0009)
                X    38    0.625 (0.0125)    0.648  0.035 (0.0029)    0.572  0.087 (0.0013)
                Y    39    0.623 (0.0125)    0.646  0.035 (0.0029)    0.570  0.088 (0.0012)
                Z    40    0.620 (0.0147)    0.650  0.045 (0.0019)    0.553  0.112 (0.0005)
                V    41    0.612 (0.0181)    0.652  0.059 (0.0010)    0.523  0.149 (0.0024)
                S    42    0.549 (0.0495)    0.666  0.175 (0.0072)    0.286  0.439 (0.0154)
 Milone         iz   43    0.303 (0.1329)    0.566  0.395 (0.0170)   -0.291  0.989 (0.0079)
                iJ   44    0.242 (0.1333)    0.489  0.370 (0.0307)   -0.314  0.926 (0.0131)
                iH   45    0.209 (0.1319)    0.448  0.359 (0.0345)   -0.329  0.897 (0.0172)
                iK   46    0.197 (0.1187)    0.417  0.331 (0.0270)   -0.300  0.828 (0.0112)
 YMS94         iz    47    0.303 (0.1329)    0.566  0.395 (0.0170)   -0.291  0.989 (0.0079)
               iJ    48    0.242 (0.1333)    0.489  0.370 (0.0307)   -0.314  0.926 (0.0131)
               iH    49    0.209 (0.1319)    0.448  0.359 (0.0345)   -0.329  0.897 (0.0172)
               iK    50    0.197 (0.1187)    0.417  0.331 (0.0270)   -0.300  0.827 (0.0111)
               iL    51    0.112 (0.0804)    0.250  0.207 (0.0271)   -0.198  0.517 (0.0172)
               iLp   52    0.108 (0.0776)    0.241  0.200 (0.0261)   -0.192  0.499 (0.0165)
               iM    53    0.109 (0.0765)    0.242  0.199 (0.0245)   -0.190  0.499 (0.0149)
               in    54    0.063 (0.0474)    0.142  0.119 (0.0177)   -0.115  0.296 (0.0121)
               iN    55    0.059 (0.0451)    0.135  0.113 (0.0168)   -0.110  0.282 (0.0115)
 Sloan DSS      u    56    0.624 (0.0129)    0.649  0.037 (0.0025)    0.568  0.093 (0.0007)
                g    57    0.620 (0.0144)    0.649  0.044 (0.0020)    0.554  0.109 (0.0003)
                r    58    0.563 (0.0424)    0.663  0.150 (0.0057)    0.338  0.375 (0.0128)
                i    59    0.459 (0.0887)    0.658  0.299 (0.0076)    0.010  0.748 (0.0219)
                z    60    0.363 (0.1206)    0.616  0.379 (0.0066)   -0.205  0.948 (0.0162)
 HST STIS Ly_alpha   61    0.648 (0.0081)    0.662  0.022 (0.0023)    0.615  0.054 (0.0013)
            Fclear   62    0.654 (0.0036)    0.652 -0.004 (0.0043)    0.661 -0.010 (0.0045)
             Fsrf2   63    0.655 (0.0035)    0.652 -0.005 (0.0044)    0.662 -0.012 (0.0046)
              Fqtz   64    0.652 (0.0038)    0.651 -0.001 (0.0042)    0.654 -0.003 (0.0042)
              CIII   65    0.641 (0.0081)    0.655  0.021 (0.0027)    0.610  0.052 (0.0017)
              MgII   66    0.629 (0.0107)    0.649  0.030 (0.0026)    0.584  0.075 (0.0011)
            Nclear   67    0.627 (0.0119)    0.650  0.034 (0.0024)    0.576  0.085 (0.0008)
             Nsrf2   68    0.625 (0.0126)    0.649  0.037 (0.0023)    0.569  0.092 (0.0006)
              Nqtz   69    0.629 (0.0115)    0.651  0.034 (0.0022)    0.578  0.084 (0.0006)
             cn182   70    0.625 (0.0123)    0.648  0.035 (0.0027)    0.574  0.086 (0.0011)
             cn270   71    0.627 (0.0115)    0.649  0.033 (0.0026)    0.578  0.081 (0.0010)
            Oclear   72    0.466 (0.0815)    0.644  0.267 (0.0030)    0.065  0.669 (0.0156)
         Oclear-lp   73    0.454 (0.0869)    0.644  0.286 (0.0034)    0.025  0.714 (0.0168)
             [OII]   74    0.624 (0.0127)    0.648  0.036 (0.0027)    0.570  0.090 (0.0010)
            [OIII]   75    0.623 (0.0142)    0.650  0.041 (0.0027)    0.561  0.103 (0.0008)
 2MASS          J    76    0.244 (0.1332)    0.492  0.371 (0.0300)   -0.313  0.929 (0.0125)
 2MASS          H    77    0.208 (0.1313)    0.446  0.357 (0.0346)   -0.327  0.892 (0.0174)
 2MASS          Ks   78    0.196 (0.1199)    0.419  0.333 (0.0279)   -0.303  0.833 (0.0118)
 SWASP               79    0.572 (0.0377)    0.660  0.132 (0.0043)    0.374  0.330 (0.0104)
 MOST                80    0.557 (0.0448)    0.662  0.156 (0.0052)    0.323  0.390 (0.0126)
 GAIA (2006)    G    81    0.496 (0.0703)    0.653  0.235 (0.0043)    0.143  0.588 (0.0156)
 GAIA (2010)    G    82    0.482 (0.0763)    0.651  0.254 (0.0043)    0.101  0.635 (0.0164)
 GAIA (2010)    BP   83    0.581 (0.0334)    0.659  0.117 (0.0036)    0.406  0.292 (0.0090)
 GAIA (2010)    RP   84    0.433 (0.0964)    0.644  0.317 (0.0044)   -0.042  0.791 (0.0191)
 GAIA (2010)  G_RV   85    0.392 (0.1132)    0.635  0.365 (0.0051)   -0.155  0.912 (0.0201)
 Milone        230   86    0.650 (0.0081)    0.665  0.022 (0.0022)    0.617  0.055 (0.0011)
               250   87    0.638 (0.0093)    0.655  0.025 (0.0025)    0.599  0.064 (0.0013)
